Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Michigan,Binghamton,Zahir Shaikh,Aff,"EBarrett																																																												29.8																																																																																								JPark																																																												29.7","JCohn																																																												29.5																																																																																								AKing																																																												29.4"
Kentucky,Georgetown,Ryan Wash,Neg,"AGabay																																																												29.1																																																																																								RSlish																																																												29.0","CCowan																																																												29.4																																																																																								AAggarwal																																																												28.8"
Dartmouth,Emory,Deven Cooper,Neg,"NCai																																																												29.0																																																																																								LGoldberg																																																												28.9","DGallagher																																																												29.4																																																																																								ISong																																																												29.1"
