Pro,Con,Judges,Votes,Win
Harker LL,Lincoln-Sudbury RC,"Bashir Eltyeb																																						Kate Hubbell																																						Mac Hays","Pro																															Pro																															Pro","3-0																															PRO"
Lincoln-Sudbury KA,Nueva AG,"Jack Ave																																						Karissa Kromminga																																						Daniel Guo","Con																															Con																															Con","3-0																															CON"
William Fremd BI,Emerald GA,"Parker Klyn																																						Tajaih Robinson																																						Mary Beth Armstrong","Con																															Pro																															Pro","2-1																															PRO"
Delbarton RW,Montgomery Blair LT,"Cale McCrary																																						Kate Totz																																						Sergio Martinez","Con																															Pro																															Con","2-1																															CON"
Acton-Boxborough NS,Pittsburgh Central Catholic GA,"Austin Davis																																						Nina Potischman																																						Christopher Bryant","Con																															Con																															Con","3-0																															CON"
Iowa City West EA,Seven Lakes CL,"Aumrita Savdharia																																						Katheryne Dwyer																																						Henry Anastasi-Scott","Con																															Con																															Con","3-0																															CON"
Lexington LM,Nueva SE,"Satvik Mahendra																																						Joshua Enebo																																						Sophia Gustafson","Con																															Con																															Pro","2-1																															CON"
Westwood SP,Delbarton AX,"Shania Hunt																																						Ruhi Kurdikar																																						Saanvi Goyal","Con																															Pro																															Pro","2-1																															PRO"
