Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash
32,NYU,Makinde & Saigal,1625.792685162459,80.13674549579211,31,1786.0661761540432,c339df06fdfccd2a1dd8a3b71b395142639a1ba795ccfc1602d826ce21008526
33,Michigan,Chamarthy & Chen,1624.6772513647236,72.11906423967807,47,1768.9153798440798,b7dad514f461892153899c318a1aa97d0d7bbfb652f125bc3922078088a4032d
34,Iowa,Eltyeb & Weimar,1604.1235605045454,72.42072524517117,50,1748.9650109948877,8f0a5eedb91fc91f604ca7bb87cd9025bf5cd2a165a09be5086dd1dfd821e541
35,UC Berkeley,Boguslavsky & Urfalian,1589.9492428579085,71.39419029952727,53,1732.737623456963,f5145466631de62626d2794083d05670efd1c54133d52fe804d0abc2a102e109
36,UTD,Penumetcha & Ravi,1579.7079784302123,67.90489482627348,60,1715.5177680827592,7d2ac3f5d9c1d34e5676070a2b65d543516b9d2bfe49e4ab69a142523403821e
37,UTD,Hale & Karthik,1575.8184991119736,74.30406543212054,45,1724.4266299762146,a3f13fae4a06221597534bebaf20a68311c4f01f9cc561c827e5ae2870ece5a9
38,Michigan State,Gearring & Shehzad,1575.5486582673457,69.78765612877204,71,1715.1239705248897,31cdc485517416b912015054f5a12742f242e49dfc8cef49728d8944b772a8a9
39,Harvard,Deshpande & Sridharan,1575.2747966964964,74.39021429880744,42,1724.0552252941113,8c4664c3e85a0cc4bb1c69cde884bb15c41d1aca2312797acc7872f0bc6138ec
40,Michigan State,Foster & Martin,1571.348275471662,69.26054864171472,70,1709.8693727550915,37ccc3e7fc9d42c2164c1379029e0bb36fa7b55bd74fb3ff6cbb6d2e7d7a4d2f
41,Wake Forest,Leverett & Wolfe,1568.8745041986915,71.24248125270485,49,1711.3594667041011,1ad4b2d818847744cfe715d122c3d2afc0599b4609da49e3ffdadc920ca6f3bb
42,Stanford,Lai & Lai,1565.542040174546,89.94645787888913,24,1745.4349559323243,57f2df2b457f8d1d4f3892529df1a9155f2f74c8466b7bb67277f8c347b595f2
43,Emory,Cross & Shirts,1562.0601682142742,116.46820751166823,11,1794.9965832376106,5f0473eacc0fcf6657f165e2fc3f20a822b970335553597919356822b9cb5eac
44,NYU,Modi & Sheffield,1552.0150699613287,173.2733396029135,8,1898.5617491671558,4bff47c6e7567c6308dd6414c1b0907c60ec54cb0c62166a579866c7413f8791
45,Liberty,Cunningham & Layton,1547.322603212436,71.08822819410436,56,1689.4990596006446,5b44f9f319086163cad421a066d023e1132a9114298f6d423891a133f490a1a9
46,Emory,Geevarghese & Maxwell,1546.8764526668447,100.24727932134094,22,1747.3710113095265,018d1ccfede0494297accbd9696072496b29e492a55b29b831acd6fe0ee35ed3
47,Texas,Feinstein & Low,1545.6311658547636,72.78606191508717,51,1691.203289684938,36a92431aad844c542be3ff764178acc58fc934f8342f895dc625aa8c4ac4965
48,Kansas,Brown & Walawender,1539.7161476120139,69.67811027871021,54,1679.0723681694342,0d084d016924a8a9526c83354fab982bbfd4910acef0eae93a3b086d1aa59960
49,Emory,Aggarwal & Stumpff,1539.608697640892,72.42668136982266,45,1684.4620603805372,fc53d7931ee8d00ec9f4be9c4f71eb0478342910085395890e33e9b57817299e
50,Western Kentucky,Fournier & Ney,1539.5434489121267,95.34615073814062,23,1730.235750388408,848e21a480a904f1e85873386cd999741837b6dfa6132755378104ba8c4a7e63
51,Kansas,Shaw & Suleman,1538.3029498563787,76.98035513259134,39,1692.2636601215613,73aab860d534f982fe0d810a1ef77325aa9a2784429f86fba1211fa630aef85b
52,Southern California,Bhadani & Rahman,1534.2576986021502,73.77833798530477,44,1681.8143745727598,d8c01391c642249a628db739d2d87a6870ada41e391fe3980a6a5600a3290944
53,George Mason,Davis & Gorman,1529.4106597696882,101.91465855876902,21,1733.2399768872262,ce8c1c7462efb253aefe104598016e919beb51024b6b566404b929d3684d17ba
54,West Georgia,Keller & Kennon,1524.171107161717,105.17696415800785,16,1734.5250354777327,92b27ee20637bb14715ead2022cbc1d769ea168876e72c844faa697824a19cb5
55,Michigan,Agustin & Ou,1523.0142507204728,69.36417483803427,69,1661.7426003965413,9f8fd3f756e41c3393a18840f8cb3a529dc844a1bb7cfe79e8730152c2b746db
56,Wake Forest,Patel & Sencion,1521.6811204548248,134.90977220817533,9,1791.5006648711756,7e74d6865f3d41e95232da84198a6a53163b92bb8cbb7b64997163f178ce2659
57,Michigan State,Jarman & Scully,1516.2596385321067,68.8764319890083,66,1654.0125025101233,02a4ea2b028c1fb1101ab3d506e2d182369c5fc3f04949e266b263c6bf379dcc
