Rank,School,Name,Rating,Aff Win Rate,Neg Win Rate,Aff Elim Win Rate,Neg Elim Win Rate
84,Kansas,Blaser & Terreros,1396.72,60.0,66.67,50.0,
85,Dartmouth,Majhail & Ross,1395.82,66.67,66.67,,
86,Missouri State,Neal & Neal,1377.25,66.67,80.0,,50.0
87,Macalester,Kochel & Winters,1374.87,50.0,50.0,,
88,Wake Forest,Leverett & Sampat,1374.36,25.0,100.0,,
89,Southern California,Dollinger & Turner,1374.03,62.5,42.86,,
90,Georgia,Cannon & Pack,1372.54,38.89,56.25,28.57,100.0
91,Western Kentucky,Carter & Kumar,1371.0,44.44,50.0,,0.0
92,Wake Forest,Patel & Wolfe,1369.2,50.0,75.0,50.0,
93,Wake Forest,Aderibigbe & Brown,1369.09,50.0,56.67,0.0,100.0
94,Emory,Charabuddi & Ravikumar,1365.1,55.56,46.15,100.0,0.0
95,Houston,Fernandez & Ibarra,1364.01,53.85,50.0,40.0,33.33
96,Kansas,Boyle & June,1360.78,42.86,53.85,,0.0
97,Kansas,LaPoint & Pace,1355.4,75.0,50.0,,
98,Southern California,Mills & Troup,1355.28,47.06,50.0,,
99,Liberty,Cunningham & Soares,1354.34,50.0,100.0,0.0,
100,Emory,Jindal & Ravikumar,1345.99,75.0,50.0,,
101,Western Kentucky,Kumar & Ney,1341.74,38.89,56.25,0.0,
102,Kansas,Smith & Terreros,1340.61,45.45,60.0,,
103,"Massachusetts, Amherst",Levitan & Moussavou,1337.97,58.33,36.36,50.0,25.0
104,Wyoming,Widi & Willson,1336.38,43.24,52.63,0.0,66.67
105,Iowa,Kleiman & Severson,1328.74,38.1,60.0,,66.67
106,UC Berkeley,Gilrain-Lennon & Situ,1322.79,33.33,61.11,,
107,Georgetown,Lastelick & Nanji,1322.04,19.44,70.97,50.0,25.0
108,UTD,Hoch & Humphrey,1317.46,38.46,60.0,,
109,Dartmouth,Ben-Abdallah & Carpenter,1316.72,36.84,63.16,100.0,100.0
110,NYU,Jain & Theiding,1315.96,44.83,56.67,20.0,71.43
111,Kansas,Chaudhry & Falin,1314.2,30.0,63.64,,
112,Baylor,Benton & Keeler,1307.76,48.15,40.74,20.0,60.0
113,Harvard,Jin & Synn,1305.02,42.86,57.14,,
114,Kansas,Chaudhry & Terreros,1304.18,66.67,33.33,,
115,Gonzaga,Roe & Wellman,1299.79,64.71,31.58,100.0,0.0
116,Western Kentucky,Schintgen & StPeter,1298.26,38.1,45.45,40.0,25.0
117,Liberty,Soares & Spencer,1295.22,53.85,50.0,50.0,25.0
118,Gonzaga,Weinhardt & Wellman,1294.35,37.5,50.0,50.0,50.0
119,Kansas,Bath & McConnell,1289.61,53.85,46.67,,
120,Trinity,King & Patterson,1288.35,33.33,57.89,33.33,75.0
121,James Madison,Matzen & Oehler,1284.85,37.5,61.54,16.67,62.5
122,Minnesota,Haber-Fawcett & Usenov,1283.18,39.39,45.45,20.0,50.0
123,Southern California,Agrawal & Sood,1278.28,33.33,75.0,,
124,UT San Antonio,Carrillo & Garza,1278.13,50.0,53.85,50.0,33.33
125,Emory,Cross & Taylor,1266.95,57.14,37.5,,
126,Liberty,Koenig & Tooley,1266.58,60.0,45.45,100.0,0.0
127,Macalester,Harrison & Winters,1260.94,50.0,45.45,,0.0
128,Kansas,Chidambaranathan & Suleman,1260.94,30.0,60.0,,
129,Michigan,Hwang & McIlhenny,1259.82,42.86,50.0,,
130,Kansas,Bath & Boyle,1247.27,37.5,66.67,,0.0
131,Wake Forest,Patel & Sayoto,1246.54,50.0,44.44,,0.0
132,Michigan,Chamarthy & Sharma,1244.25,25.0,75.0,,
133,Emory,Cannaday & Stearns,1242.96,66.67,33.33,,
134,George Mason,Richter & Taxali,1240.49,36.0,52.17,0.0,
135,Missouri State,Neal & Siever,1239.81,50.0,46.15,,
136,Michigan,Almand & Moon,1239.79,58.33,18.18,,
137,Wake Forest,Kampine & Sampat,1238.57,0.0,100.0,,
138,Kansas,Blaser & Pace,1237.66,42.86,50.0,,
139,Iowa,Bilicki & Sanderson,1237.0,45.45,40.91,,
140,Southern California,Bhadani & Bradley,1236.42,0.0,50.0,0.0,50.0
141,Georgetown,Varkantham & Zaidi,1232.31,50.0,50.0,,
142,Kansas,Bauman & Persson,1231.92,57.14,28.57,,
143,Kansas State,Robertson & Sum,1227.2,30.0,58.33,,0.0
144,Michigan,Baba & Ledesma,1227.06,33.33,44.0,,0.0
145,Cal State Fullerton,Ayyala & Meza,1219.45,66.67,50.0,,
146,UTD,Hale & Kumar,1217.22,25.0,75.0,,50.0
147,Kansas State,Ardis & Sand,1216.57,50.0,41.67,,
148,Texas,Gade & Stevenson,1206.1,50.0,21.43,75.0,0.0
149,Northwestern,LippSmith & Olorunsola,1205.83,36.36,50.0,,
150,Iowa,Larsen & Severson,1205.46,75.0,75.0,0.0,100.0
151,Wake Forest,Mbye & Peters,1201.47,55.56,33.33,,
152,Liberty,Etienne & Yoon,1200.66,100.0,50.0,,0.0
153,Kentucky,Ervin & Rushing,1198.14,28.57,71.43,0.0,100.0
154,Wyoming,Campbell & Hawley,1195.55,34.62,44.0,20.0,50.0
155,Houston,Fernandez & Sheffield,1193.49,50.0,66.67,,
156,Emory,Charabuddi & Feldman,1193.4,50.0,50.0,,
157,Minnesota,Munson & Wells,1191.87,33.33,66.67,,
158,North Texas,Bowman & Vargas,1186.27,33.33,50.0,16.67,50.0
159,Rochester,Jones & Mbaye,1172.45,33.33,66.67,,
160,Liberty,Layton & Spencer,1171.65,33.33,66.67,,
161,Kansas State,Day & Raines,1169.88,42.86,42.86,,
162,Wake Forest,Mbye & Sampat,1168.28,38.46,45.45,50.0,
163,George Mason,Gorman & Neale,1168.12,75.0,40.0,,0.0
164,UC Berkeley,Liu & Smith,1164.64,25.0,50.0,,
165,Arizona State,Saxena & Smith,1164.03,36.36,40.0,,
166,Georgetown,Li & Valame,1163.47,66.67,25.0,,
167,Kansas State,Day & Robertson,1162.86,37.5,50.0,25.0,50.0
168,Northwestern,Arceo & Kung,1159.59,38.1,42.31,,33.33
169,Cal State Fullerton,Martinez & Nworgu,1155.94,44.44,41.18,,
170,Macalester,Costello & Winters,1150.91,33.33,50.0,,
171,Emory,Stearns & Tai,1148.25,38.89,33.33,100.0,0.0
172,MoState,DeAngelis & Neal,1147.32,31.25,40.0,60.0,0.0
173,Kansas,LaPoint & Levin,1144.25,50.0,33.33,,
174,Dartmouth,Guo & Hatton,1141.19,42.86,26.67,,
175,Harvard,Aoki & Levitan,1138.82,33.33,66.67,,
176,Iowa,Bilicki & Larsen,1133.67,50.0,75.0,,0.0
177,Michigan,Garvey & Joyce,1132.12,57.14,14.29,,
178,Cal State Fullerton,Catapang & Dominguez,1129.69,33.33,35.29,0.0,
179,Missouri State,Cooper & Granger,1127.78,25.0,57.14,,
180,Dartmouth,Ben-Abdallah & Jones,1115.8,50.0,50.0,,
181,Emory,Cannaday & Feldman,1110.39,66.67,0.0,,
182,Liberty,Koenig & Soares,1109.86,33.33,66.67,,
183,Emory,Cross & Stumpff,1105.92,50.0,0.0,,
184,Kansas,Harker & Levin,1093.41,37.5,33.33,,
185,Missouri State,Hahn & Neal,1093.33,11.11,50.0,,
186,Dartmouth,Brody & Goyal,1090.77,14.29,40.0,,
187,Missouri State,Burns & Kimmerle,1090.46,33.33,42.86,,
188,Kansas,Fordyce & Verma,1088.44,33.33,50.0,,
189,Wake Forest,Sampat & Williams,1082.2,33.33,50.0,,0.0
190,Harvard,Bodet & Shen,1078.41,100.0,0.0,,
191,Michigan,Joyce & Ou,1076.53,25.0,50.0,,
192,Emory,So & Wang,1076.03,50.0,28.57,,
193,UTD,Khakoo & Ramirez,1074.67,18.18,50.0,,
194,Dartmouth,Guo & Morley,1072.28,50.0,50.0,,
195,Georgetown,Perez-Rubio & Valame,1064.36,28.57,33.33,,
196,New School,Team New School,1064.15,66.67,25.0,,0.0
197,Georgetown,Klingler & Li,1062.21,33.33,33.33,,
198,George Mason,Reyes & Shananier,1062.19,38.1,23.81,0.0,
199,Emory,Wang & Yang,1059.8,100.0,100.0,,
200,Harvard,Chen & Saneyoshi,1059.62,14.29,50.0,,
201,Dartmouth,Park & Tejavanija,1059.24,33.33,33.33,,
202,Georgetown,Perez-Rubio & Tamfu,1058.41,0.0,66.67,,
203,Kansas,Foust & Sharman,1058.11,36.36,40.0,,
204,Oklahoma,Ballinger & Smith,1057.58,20.0,50.0,,0.0
205,Missouri State,Cooper & Hahn,1055.7,33.33,66.67,,
206,Central Oklahoma,Eckard & Walker,1055.51,0.0,71.43,0.0,66.67
207,CSU Long Beach,Escobar & Saenz,1054.35,33.33,36.36,,
208,Gonzaga,Gibson & Weinhardt,1052.01,33.33,33.33,,
209,UC Davis,Mijares & Shaikh,1048.17,75.0,0.0,,
210,NYU,Khade & Khalif,1048.14,63.64,20.0,100.0,
211,Georgia,Chapman & Lackey,1047.09,20.0,42.86,,
212,West Georgia,Kennon & Missell,1046.68,38.89,27.78,0.0,25.0
213,Georgetown,Correa & Xiao,1046.21,37.5,25.0,,
214,Dartmouth,Ben-Abdallah & Park,1041.65,0.0,50.0,,
215,North Texas,Hasper & Paruchuri,1039.8,50.0,66.67,,
216,Northwestern,Arceo & Hines,1039.69,50.0,25.0,,
217,Purdue,Hansen & Hawksworth,1037.13,28.57,42.86,,
218,Minnesota,Herzer & Kathner,1036.76,16.67,42.86,,
219,Suffolk,DaCruz & Zakonov,1034.97,33.33,50.0,,
220,CSU Long Beach,Escobar & Johnson,1033.35,50.0,40.0,,50.0
221,Macalester,Durbin & Winters,1031.66,33.33,33.33,,
222,Emory,Pelli & Stearns,1020.52,50.0,25.0,,
223,Navy,Connor & Rea,1017.25,27.27,33.33,,
224,Binghamton,Patel & Treulich,1017.15,21.74,42.11,0.0,
225,Northwestern,Heftman & Peltier,1014.87,20.0,30.0,,
226,Rochester,Ozcayir & Rahman,1011.86,25.0,35.71,,
227,Southwestern,Ayekof & Flores Palacios,1011.79,66.67,40.0,,0.0
228,Baylor,Li & LoCicero,1010.75,33.33,25.0,,
229,Indiana,Fish & Truemper,1009.38,33.33,25.0,20.0,25.0
230,Southern California,Huerto & Savdharia,1009.15,33.33,50.0,,
231,Houston,Hendrix & Ibarra,1008.41,50.0,0.0,,
232,CSU Long Beach,Saenz & Smith,1007.16,50.0,0.0,,
233,Oklahoma,Davis & Toro,1004.53,27.27,30.0,,
234,Kansas,Hernandez & Martinez,1000.84,33.33,20.0,,0.0
235,Binghamton,Bryen & Harshbarger,1000.05,33.33,50.0,,0.0
236,NYU,Lee & Zolkin,989.03,50.0,50.0,,
237,Louisville,Johnson & Van Dyke,984.74,40.0,27.27,0.0,
238,Western Kentucky,Ingram & Shockley,980.12,50.0,33.33,,
239,Baylor,Merriwether & Phillips,979.33,17.65,33.33,,
240,Oklahoma,Ballinger & Wright,977.3,30.0,27.27,,
241,Utah,Verbeck-O'Brien & Watrin,975.26,0.0,50.0,,
242,Wake Forest,Dingley & Kampine,972.21,66.67,0.0,,
243,Trinity,Crowley & Khalikov,971.81,0.0,50.0,,
244,Iowa,Kleiman & Larsen,970.6,0.0,66.67,,
245,Cornell,Dye & Vorontsova,968.53,50.0,14.29,50.0,25.0
246,Dartmouth,Hatton & Park,962.66,0.0,75.0,,
247,Cornell,Dye & Marcy,962.58,0.0,50.0,,
248,Southwestern,Figueroa & Munoz,962.39,33.33,50.0,0.0,100.0
249,North Texas,Paruchuri & Sharp,959.07,33.33,33.33,,
250,West Point,Anteen & Rowe,957.78,66.67,25.0,,0.0
251,Missouri State,Cowdrey-Mota & Neal,953.62,33.33,33.33,,
252,Navy,Lawrence & Satterfield,953.23,33.33,7.14,25.0,0.0
253,Emory,Kibe & Wang,952.6,18.18,33.33,,
254,Emory,Aggarwal & Hu,952.16,25.0,25.0,,
255,Southern Nazarene,Horton & Stockstill,950.91,42.86,16.67,,
256,Trinity,Crowley & Olabanji,948.92,50.0,25.0,,
257,UMKC,Cowdrey-Mota & Rice,948.88,25.0,50.0,,
258,George Mason,Bell & Rosa-Pérez Montes,947.79,25.0,66.67,,
259,Western Kentucky,Shockley & StPeter,947.48,33.33,33.33,,
260,Dartmouth,Gonzalez Arce & Hant,947.13,10.0,33.33,,
261,Kansas,Fordyce & Hefty,946.8,50.0,0.0,,
262,UT San Antonio,Gilbert & Jackson,946.78,50.0,25.0,,
263,Central Oklahoma,Kagiri & Walker,943.73,25.0,50.0,0.0,
264,Utah,Parrish & Powers,941.64,12.5,42.86,,
265,Kansas State,Day & Williamson,938.85,66.67,40.0,,0.0
266,Indiana,Duggal & Jones,934.56,42.86,16.67,,
267,Trinity,Barden & Khalikov,933.23,25.0,45.45,0.0,
268,Utah,Boscan & Verbeck-O'Brien,925.18,50.0,25.0,,
269,West Point,MacDonnell & Peffers,924.98,33.33,33.33,,
270,Baylor,Li & Phillips,921.7,0.0,50.0,,
271,Kentucky,Rushing & Schedler,920.8,25.0,30.0,,
272,CSU Long Beach,Griffin & Tobias,919.84,33.33,0.0,,
273,West Point,Opron & Song,918.16,45.45,9.09,50.0,0.0
274,Kansas,Lemaster & Verma,915.33,16.67,14.29,,
275,Dartmouth,Katyal & Rao,909.69,50.0,25.0,,
276,Southern California,Rueda & Wong,908.27,50.0,0.0,,
277,Emory,Chen & Granchi,904.15,16.67,26.32,,
278,George Mason,Fariss & Vardhanapu,903.92,0.0,75.0,,
279,NYU,Travers & Tseng,903.57,0.0,75.0,,
280,Missouri State,Bates & DeAngelis,903.25,33.33,66.67,,
281,Texas AandM University - College Station,Birkby & Cruz,903.0,33.33,33.33,,
282,Kansas State,Draeger & Spurlock,901.2,22.22,26.32,25.0,25.0
283,North Texas,Hasper & Vazquez,897.63,28.57,16.67,,
284,Amherst,Lourenco & Opoku,892.64,50.0,25.0,,
285,UT San Antonio,Panda & Srivatsan,890.26,75.0,0.0,,
286,New School,Curran(StJohns) & Lyday,883.32,50.0,25.0,,
287,West Point,Kang & Little,883.01,66.67,0.0,,
288,Houston,Hendrix & Macasaet,880.86,50.0,0.0,50.0,0.0
289,Binghamton,Bryen & McLaughlin,874.4,75.0,0.0,,
290,Kansas,McConnell & Smith,869.6,50.0,0.0,,
291,West Georgia,Handley & Lovering,868.82,50.0,0.0,,
292,Binghamton,Gakhare & Guo,864.1,33.33,28.57,,
293,Harvard,Lourenco & Synn,859.46,28.57,0.0,,
294,Kansas State,Lewis & Williamson,855.4,28.57,16.67,,
295,Northwestern,Martinez & Olorunsola,849.25,33.33,0.0,,
296,Macalester,Costello & Durbin,848.38,28.57,14.29,,
297,Western Kentucky,Ingram & Puranik,845.45,28.57,16.67,,
298,UTD,Khakoo & Underwood,840.22,0.0,33.33,,
299,Binghamton,Ramaswamy & Robinson,836.09,33.33,28.57,,
300,Wyoming,Morrison & Willson,835.37,50.0,0.0,,
301,Oklahoma,Bustos & Werner,835.18,16.67,28.57,,
302,Houston,Macasaet & Shehata,828.56,33.33,33.33,,
303,Southwestern,Arciniega & Figueroa,808.56,25.0,50.0,,
304,Wyoming,Hedrick & Pierson,807.74,22.22,27.27,,
305,Georgetown,Correa & Wang,801.05,25.0,0.0,,
306,George Mason,Elsayed & Sanchez,800.59,25.0,25.0,,
307,Louisville,Naidugari & Stevenson,793.4,28.57,14.29,,
308,Louisville,Johnson & Naidugari,784.02,33.33,0.0,,
309,Texas,Hamstra & Sutton,782.46,33.33,0.0,,
310,Towson,Madison & Ramos,775.96,75.0,0.0,,
311,Towson,Abouelmagd & Lemessy,773.72,25.0,33.33,,
312,Missouri State,Busenhart & Cowdrey-Mota,771.28,0.0,14.29,,
313,Northern Iowa,Miller & Van Buren,770.85,22.22,10.0,,
314,UT San Antonio,Alonzo & Paschall,756.97,50.0,0.0,,
315,West Point,Freeman & Gerber,753.8,33.33,0.0,,
316,North Texas,Busa & Vazquez,751.02,25.0,25.0,,
317,Wyoming,Lyday & Willson,747.57,33.33,0.0,,
318,Samford,Alexander & Setzler,744.46,25.0,0.0,25.0,0.0
319,North Texas,Ganesh & Vargas,736.6,33.33,33.33,,
320,Liberty,Lib/JMU KJ,735.22,0.0,50.0,,
321,Purdue,Ahmed & Hawksworth,734.79,0.0,33.33,,
322,James Madison,Kardos & Pinto,731.31,7.14,13.33,25.0,25.0
323,Northern Iowa,Chapman & Doyle,720.45,0.0,28.57,0.0,25.0
324,Minnesota,Brown & Munson,715.98,0.0,0.0,,
325,Dartmouth,Johnson & Kirkpatrick,712.4,0.0,0.0,,
